date,fim_bars,fim_bars_ma,state_local_cont,federal_cont,taxes_transfers_cont,subsidies_cont,recession,gdp,gdppot,gdppoth,pi_gdp,pce,pi_pce,federal_nom,federal_cgrants_gross,federal_health_grants,federal_medicaid_grants,federal_cgrants,federal_igrants,pi_federal,state_local_nom,pi_state_local,pi_state_local_c,pi_state_local_i,federal_nom_pi,state_local_nom_pi,federal_cgrants_pi,federal_igrants_pi,medicare,medicaid,health_outlays,unemployment_insurance,social_benefits_gross,social_benefits,personal_taxes,payroll_taxes,production_taxes,noncorp_taxes,corporate_taxes,subsidies,federal_medicaid,federal_health_outlays,federal_unemployment_insurance,federal_social_benefits,federal_personal_taxes,federal_payroll_taxes,federal_production_taxes,federal_noncorp_taxes,federal_corporate_taxes,federal_subsidies,state_medicaid,state_health_outlays,state_social_benefits_gross,state_social_benefits,state_personal_taxes,state_payroll_taxes,state_production_taxes,state_noncorp_taxes,state_corporate_taxes,state_subsidies,add_state_health_outlays,add_state_social_benefits,add_state_noncorp_taxes,add_state_corporate_taxes,add_federal_health_outlays,add_federal_social_benefits,add_federal_subsidies,add_federal_cgrants,federal_nom_cont,state_local_nom_cont,federal_cgrants_cont,federal_igrants_cont,federal_cont_0,state_local_cont_0,purchases_cont,subsidies_net,health_outlays_net,social_benefits_net,noncorp_taxes_net,corporate_taxes_net,federal_subsidies_net,federal_health_outlays_net,federal_social_benefits_net,federal_noncorp_taxes_net,federal_corporate_taxes_net,state_subsidies_net,state_health_outlays_net,state_social_benefits_net,state_noncorp_taxes_net,state_corporate_taxes_net,health_outlays_net_xmpc,federal_health_outlays_net_xmpc,state_health_outlays_net_xmpc,social_benefits_net_xmpc,federal_social_benefits_net_xmpc,state_social_benefits_net_xmpc,corporate_taxes_net_xmpc,federal_corporate_taxes_net_xmpc,state_corporate_taxes_net_xmpc,noncorp_taxes_net_xmpc,federal_noncorp_taxes_net_xmpc,state_noncorp_taxes_net_xmpc,subsidies_net_xmpc,federal_subsidies_net_xmpc,state_subsidies_net_xmpc,transfers_net_taxes,state_transfers_net_taxes,federal_transfers_net_taxes,health_cont,social_benefits_cont,federal_taxes_transfers_cont,state_taxes_transfers_cont,corporate_cont,noncorp_cont,federal_subsidies_cont,state_subsidies_cont
2003-03-31,0.6530081103793837,1.1612180744110343,-0.46194834236370463,0.0406776650144408,1.0742787877286475,-0.0018176279735495683,0,11183.5,0.011552254727824396,0.006603881934076128,0.004948372793748268,7555.8,0.007049864898059477,792.3,299.6,165.906,154.378,145.22200000000004,43.171,0.01115046737337444,1380,0.014025900502441457,0.015431968630096549,0.008292284823224305,0.01115046737337444,0.014025900502441457,0.015431968630096549,0.008292284823224305,268.9,260.7,529.5999999999999,51.8,1294.7,765.0999999999999,1021.4,767.1,788.6,2577.1,196,47.1,154.378,423.27799999999996,41.355,637.4449999999999,803.5,749.1,90.1,1642.6999999999998,161.5,47,106.322,106.322,388.355,127.65500000000003,217.9,18,698.5,934.4,34.5,0.1,0,0,0,0,0,0,0,0,0.1242326279833826,-0.5455033053326465,-7.731975667032106e-5,-0.08347764321227148,0.1242326279833826,-0.5455033053326465,-0.4212706773492638,4.627908007733524,-3.075043960287303,4.150132253115771,-33.666590340848416,18.103767430960204,4.1224465090006674,-2.970496119140819,5.271731558163879,-30.538239895806555,17.561167949836744,0.5054614987328543,-0.10454784114644156,-1.121599305048079,-3.1283504450422015,0.5425994811234602,1.0060929380123682,0.593410860566759,0.4126820774456316,1.1562840453804852,1.3902678067947307,-0.233983761414207,2.408350554500618,2.155057054906526,0.2532934995940911,28.87748938505503,25.740894307632903,3.13659507742218,-0.14493603405662012,-0.09462636378373485,-0.05030967027288511,33.30328088889188,3.5182772227748105,29.785003666117184,1.2032075469048233,0.12711113120263054,0.03293019280959701,0.036538789191125506,1.0433090144986688,0.08701081351219321,-0.0034187368932388513,-0.005236364866788424
2003-06-30,1.1728569269261748,1.0518429451375981,-1.4349008145789095,1.6655945382019757,0.9421632033031087,-0.0018848561507621231,0,11312.9,0.009557019847915793,0.00663186719151132,0.0029251526564044728,7642.6,2.5611630119271034e-4,825.5,323.3,171.106,158.02,165.28,48.719,0.007107176730951625,1374,5.164279931888505e-4,4.0138963861102717e-4,0.0010406579270672012,0.007107176730951625,5.164279931888505e-4,4.0138963861102717e-4,0.0010406579270672012,273.4,260.1,533.5,55.2,1312.6,779.1,1020.8,777.8000000000001,799.9,2598.5,192.6,57.099999999999994,158.02,431.41999999999996,43.223,647.677,812.9,758.6,90,1661.5,160.9,56.8,102.08000000000001,102.08000000000001,391.523,131.42299999999997,207.9,19.2,709.9,937,31.7,0.3,0,0,0,0,0,0,0,0,0.7981242187233943,-0.5674304951003282,0.680882241753152,0.18658807772542937,0.7981242187233943,-0.5674304951003282,0.23069372362306617,9.675575977493637,0.2521239422640065,8.730003829732254,3.648977740952432,-4.750044764569992,9.476264775842907,5.226468123175209,5.841289362493399,7.4851095165352035,-1.7124093340717081,0.19931120165072957,-4.974344180911274,2.888714467238799,-3.8361317755826576,-3.0376354304982875,2.0956818813841296,2.046999454998705,0.048682426385421355,0.2514631289011021,0.12086748288324145,0.1305956460179054,2.3881315255971725,2.075338747172249,0.31279277842492365,25.255066221788613,21.79542695454797,3.459639267240668,0.3030728207486265,0.3557710426537472,-0.05269822190512051,30.293415578419644,3.899011896163798,26.394403682255913,1.0835039327015565,0.13945587324768804,0.08768106313901289,0.019834075187543383,0.9032974014141768,0.08541624806535245,0.012724855104528894,0.010839998953766763
2003-09-30,0.6394158287240199,0.9243148637586611,0.3998565275949437,-0.7323423591140147,0.9719016602430909,-0.0034874451036285567,0,11567.3,0.012097328665774398,0.00661651152576459,0.005480817140009808,7802.6,0.0061817960129244565,832.7,329.6,186.792,174.229,155.371,46.443,0.009066137599357038,1388.5,0.006598496156689837,0.007886217106173321,0.001270592991524433,0.009066137599357038,0.006598496156689837,0.007886217106173321,0.001270592991524433,279,271.7,550.7,54.2,1335.5,784.7999999999998,950.7,787.7,813,2551.3999999999996,213.9,45.9,174.229,453.22900000000004,41.974,652.7259999999999,716.5,767.2,89.6,1573.3,180.3,46.9,97.47099999999998,97.47099999999998,403.774,132.07399999999998,234.2,20.5,723.4,978.0999999999999,33.6,-1,0,0,0,0,0,0,0,0,-0.20316724633958932,-0.12931858517948172,-0.43511428504757177,-0.09406082772685367,-0.20316724633958932,-0.12931858517948172,-0.33248583151907096,-11.930783360459138,10.372102928109484,-4.271161403392853,-80.356402139284,18.83504596804849,-10.626943868197536,16.287554161658875,-3.240169431735694,-109.46438797553196,17.340752317024936,-1.3038394922616068,-5.915451233549419,-1.03099197165713,29.107985836248304,1.4942936510235612,3.2737329126973065,4.469866574318426,-1.1961336616211102,0.8228781901871883,0.67361703599137,0.1492611541958407,1.0157610309161718,0.8724212105896092,0.1433398203265617,19.739235043561894,21.84547918294433,-2.106244139382461,-0.37381827343358104,-0.2751854791514825,-0.09863279428209874,24.477788903928978,-3.1084096207632674,27.586198524692254,0.865482375126766,-0.10990673021995305,0.10602223774790989,0.015877800272383114,0.6979372236495291,0.03591514221521172,-0.00972997124173227,-0.01321741634536082
2003-12-31,0.8919973723150214,0.8393195595861505,-0.546989131172936,0.5092651698143085,0.929721333673649,3.977373109788172e-4,0,11769.3,0.01221412943304645,0.006678583492849777,0.005535545940196673,7891.5,0.004592714670027309,854.6,334.3,182.543,170.506,163.794,45.507,0.00749138242138403,1397.3,0.007719385775264431,0.00890896112453321,0.0027686850188184398,0.00749138242138403,0.007719385775264431,0.00890896112453321,0.0027686850188184398,285.5,265.7,551.1999999999999,51.5,1341.3,790.1000000000001,1021.3,800.2,820.9,2642.4,236.60000000000002,46,170.506,456.006,39.385,659.4150000000001,781.6,778.2,91.1,1650.9,200.4,45.1,95.19399999999999,95.19399999999999,396.385,130.68500000000003,239.7,22,729.8,991.5,36.2,0.9,0,0,0,0,0,0,0,0,0.3492835625674946,-0.38700752392612214,0.20752111919817362,-0.04753951195135978,0.3492835625674946,-0.38700752392612214,-0.037723961358627545,-0.41735258567605626,-5.707103898296509,-3.5457147982256174,62.24240986723589,20.289069322960614,-2.3286238838389295,-2.331479195062684,-0.6680693646619602,59.8668666003457,18.067784941233242,1.9112712981628772,-3.3756247032337825,-2.877645433563771,2.375543266889963,2.2212843817273296,0.41446777765267767,3.6477105683918807,-3.2332427907392063,1.13923347327665,1.6210759779584152,-0.48184250468179074,0.30319177056358626,0.24398578446365302,0.05920598609993384,19.16017915547637,21.676543498505893,-2.5163643430295424,-0.3034018718118443,-0.3149037388050574,0.011501866993213178,20.71367030515744,-6.160741785357392,26.874412090514785,0.716283672253938,-0.21303992410873385,0.0034429482713380054,0.02890325664467268,0.6625635768235068,0.010484443926018562,-0.010889446588402045,-0.01049170927742323
2004-03-31,0.2849058011778918,0.7472939822857775,0.23356949752944206,-0.4041200882597879,0.45545639190823767,-0.009218296711849608,0,11920.2,0.014322531897767332,0.006774092068929427,0.007548439828837905,8027.7,0.008299055499933594,871.3,328,190.07,177.772,150.228,47.601,0.008510270377095175,1416,0.01280376273843764,0.014299903397417602,0.006514330088152054,0.008510270377095175,0.01280376273843764,0.014299903397417602,0.006514330088152054,293,283.4,576.4,42.3,1379.6,803.2000000000002,1012.2,813.4,847.3000000000001,2672.9,247,44.3,177.772,470.772,36.288,674.3120000000001,773.2,790,94.1,1657.3,209.2,43.9,105.62799999999999,105.62799999999999,412.288,128.88800000000003,239,23.4,753.2,1015.6,37.8,0.4,0,0,0,0,0,0,0,0,0.12364316836608333,-0.29419375909642914,-0.5783791394021687,0.050615882776297416,0.12364316836608333,-0.29419375909642914,-0.17055059073034584,-2.393364788167702,16.891681060042743,1.1907061058414001,-9.3292851359638,6.8336932852069765,-1.8797989553557244,7.8925542697130595,4.9575403958782545,-18.484259321436184,5.779341227199836,-0.5135658328119768,8.999126790329655,-3.7668342900368543,9.154974185472383,1.0543520580071544,4.906980907226938,6.091896905884004,-1.1849159986570847,0.4733625901399165,1.5503829664441497,-1.0770203763042652,-1.2514229978598488,-1.1376935753739106,-0.11372942248593781,5.490540798684159,7.562488652337528,-2.0719478536533624,-0.6660676660777193,-0.3948354173507902,-0.27123224872692897,8.953393632113446,-4.7188458998275795,13.672239531940981,0.3042965556868614,-0.1603781329332273,0.15335306228496676,-0.006549415035314008,0.18660551770059933,-0.04253177326977301,-0.013419164006382376,-0.02263746071823199
2004-06-30,0.04787762893957759,0.46604915778912814,-0.03567393639946731,-0.2813714609987537,0.3649230263377986,-0.016090870691174153,0,12109,0.015110850385686048,0.0068673878928438015,0.008243462492842246,8133,0.006854968955245289,884.2,332.8,194.963,182.692,150.108,44.213,0.008671157379056993,1437.2,0.014325674868285176,0.013347105220797406,0.01837352840324602,0.008671157379056993,0.014325674868285176,0.013347105220797406,0.01837352840324602,300.4,293,593.4,35.9,1400.6,807.2,1026.7,828,859.9,2714.6000000000004,266.8,43.699999999999996,182.692,483.092,34.859,678.2410000000001,792.4,803.5,94.8,1690.7,226,43.3,110.30799999999999,110.30799999999999,421.959,128.959,234.3,24.5,765.1,1023.9000000000001,40.8,0.4,0,0,0,0,0,0,0,0,-0.02143368384446928,-0.29561171355375176,-0.10593053376540937,-0.15400724338887506,-0.02143368384446928,-0.29561171355375176,-0.317045397398221,-1.2079004083703495,9.090433512761479,-7.021797020385293,5.021512380742934,16.410577858522004,-1.2024114656311156,5.859898621911384,-5.324149890948661,10.657937995661996,13.929282947379761,-0.005488942739235614,3.230534890850052,-1.6976471294365467,-5.63642561491929,2.4812949111422355,6.8956005605888695,6.234418768099643,0.6611817924892137,-3.0707926011365316,-0.9618408655803137,-2.108951735556218,-2.0768147569429876,-1.8770817446422967,-0.19973301230069018,5.8630286843310015,8.380426657581497,-2.5173979732504606,-0.9010341690789618,-0.42151817704662664,-0.4795159920323354,6.70998771776139,-4.644416920650491,11.354404638411904,0.22516359516657067,-0.1558503018624013,0.21724744160474632,-0.13328054127331734,0.1967426279535914,-0.06969060106182741,-0.014144667943377681,-0.03023553863455183
2004-09-30,-0.4323650618830336,0.19810393513736474,-0.7314416061911453,0.33987702533912767,-0.04080048103101598,-0.0050925048790935075,0,12303.3,0.013427725375611432,0.006979165948290733,0.006448559427320699,8264.3,0.005037903091656526,902.2,328.4,186.476,173.33,155.06999999999996,50.413,0.009155151897811908,1455,0.016251890922234447,0.01372728115113242,0.026922753163668878,0.009155151897811908,0.016251890922234447,0.01372728115113242,0.026922753163668878,308.6,288.3,596.9000000000001,34.7,1409.7999999999997,812.8999999999997,1064.4,843.6,871.3,2779.3,288.4,45.4,173.33,481.93000000000006,33.83,681.6699999999998,816.7,818.4,95.9,1731,244.5,45,114.97,114.97,419.53,131.22999999999993,247.7,25.2,775.4,1048.3,43.9,0.4,0,0,0,0,0,0,0,0,0.12334746586757223,-0.5149120467195899,0.06123698534312448,0.15529257412843092,0.12334746586757223,-0.5149120467195899,-0.3915645808520176,1.1748540829543046,-3.630928768304557,-4.0001781290457075,32.078464384158906,18.393845980142032,1.1796609105702842,-6.967349916646128,-4.7214689227231474,19.98274137416115,15.78414239697193,-0.0048068276159788925,3.3364211483415005,0.7212907936773831,12.095723009997755,2.609703583170152,3.74491842889571,1.002065350481017,2.7428530784146705,-3.009821364408424,-1.2951332510524907,-1.7146881133559526,-3.4051691736324905,-3.0396378695078154,-0.3655313041246775,0.4463202887549958,3.1906201829428755,-2.7442998941878587,-1.0930469748750178,-0.9388841209226595,-0.1541628539523582,-3.3167987952652265,-2.2358290872061763,-1.080969708059073,-0.10956474672607901,-0.07385677057415728,0.09269251987688662,-0.13553120288325848,0.01474342352811944,-0.11248391026946868,-0.03101442302164207,-0.03610692790073558
2004-12-31,-0.5760912511364734,-0.16891822072550897,-0.23074443770009928,-0.3550314415416719,0.009684628105297728,-0.0033881082847240893,0,12522.4,0.014729062900695755,0.007040372564462549,0.007688690336233206,8425.6,0.008547513772964699,909.3,340,191.752,177.282,162.718,44.947,0.00972182115699316,1480.3,0.017217077443915985,0.015617654740140985,0.024017377761383685,0.00972182115699316,0.017217077443915985,0.015617654740140985,0.024017377761383685,315.4,294.5,609.9,32.9,1427.9,818,1091.6,849.5,893.8000000000001,2834.9,293.5,52.3,177.282,492.682,32.126,689.374,829.8,824,96.2,1750,249.2,51.9,117.21799999999999,117.21799999999999,423.126,128.626,261.8,25.5,797.6,1084.9,44.3,0.4,0,0,0,0,0,0,0,0,-0.2608357489615764,-0.32494013028019475,0.13441661036876806,-0.22861230294886353,-0.2608357489615764,-0.32494013028019475,-0.5857758792417711,6.192309960280802,3.6955906451895544,-7.57139280369438,12.276587502388338,0.6044535802860196,6.198545114815772,3.239729937403638,-2.9217944796338315,-7.98263125008657,0.8887617904990179,-0.006235154534970921,0.4558607077859733,-4.6495983240604914,20.259218752475135,-0.2843082102130552,5.860524701180075,2.2555874052859397,3.6049372958941155,-3.9155989156388955,-1.8022214019211618,-2.113377513717715,-4.029244645653054,-3.6087149804820102,-0.4205296651710437,-2.176243568755772,3.388605169924958,-5.564848738680736,0.06462601961204793,0.16883830126066254,-0.10421228164861472,-4.195936409255599,-4.598030903323994,0.4020944940683885,-0.13641661698099206,-0.1494893533710141,0.1960242537348756,-0.1252013003349296,-0.07075316602068622,-0.13099720060969186,0.005489203750560014,0.0021010954658359283
2005-03-31,-0.399319329963181,-0.3399745035107772,-0.1581741428903265,0.02168388493087975,-0.26282907200373423,-0.0015757118097014069,0,12761.3,0.014485163046225269,0.006855137612807205,0.007630025433418064,8523,0.005696937017196424,931.5,341.6,199.036,183.908,157.69200000000004,49.943,0.013179218303145834,1495.4,0.008922558922558999,0.009038778029212047,0.008445067040224075,0.013179218303145834,0.008922558922558999,0.009038778029212047,0.008445067040224075,323.2,301.3,624.5,32.1,1464.3999999999999,839.8999999999999,1172.3,862.6999999999999,915.1,2950.1,370.6,56.8,183.908,507.10799999999995,31.363,710.7369999999999,902.9,837.4,97.2,1837.5,315.3,56.4,117.39200000000002,117.39200000000002,430.463,129.16300000000004,269.4,25.3,817.9,1112.6,55.3,0.4,0,0,0,0,0,0,0,0,0.12722034643914815,-0.2637106043985949,-0.24315550263329858,0.13761904112503018,0.12722034643914815,-0.2637106043985949,-0.13649025795944675,3.8435264968508136,6.944489683160782,11.63240295265689,79.61612363140239,73.41596609609394,3.848547326702814,8.2418187671405,12.709926104015722,65.53386939749362,62.972023002203116,-0.005020829852001474,-1.297329083979733,-1.077523151358804,14.08225423390877,10.443943093890837,3.6224066413816334,2.334171917207114,1.2882347241745034,-1.5662171251054104,-0.0579346175902316,-1.5082825075151534,-6.473131445456682,-5.753038469270365,-0.7200929761863178,-11.82546596192543,-5.1087890690730005,-6.716676892852456,0.3574633105775791,0.40679254449209096,-0.04932923391451224,-15.884944580528309,-7.7061468862939355,-8.178797694234392,-0.5074089497389737,-0.2461555895449414,0.12870373685152126,-0.03861093127604394,-0.3777380042779477,-0.20676967499701915,0.012994076039484156,0.011418364229782759
2005-06-30,-0.8443407238471284,-0.5630290917074536,-0.27648188840855253,-0.27015798593823853,-0.29770084950033737,-2.6857902052336894e-4,0,12910,0.013650300020033868,0.0065990773449688955,0.007051222675064972,8671.4,0.00600268080890487,939,344.8,200.246,185.818,158.982,51.172,0.009020770117375898,1513.9,0.012719968167990814,0.011276902101199138,0.018812509922210063,0.009020770117375898,0.012719968167990814,0.011276902101199138,0.018812509922210063,329.2,310.8,640,30.9,1486,845.9999999999999,1196.1999999999998,871,937.3,3004.5,359.1,60.699999999999996,185.818,515.018,30.188,716.6119999999999,925.8,846,101.4,1873.2,306.1,60.3,124.982,124.982,440.188,129.388,270.4,25,835.9,1131.3,53,0.4,0,0,0,0,0,0,0,0,-0.2209771076982505,-0.3256627666485406,-0.047922984361316805,-0.0012578938786712776,-0.2209771076982505,-0.3256627666485406,-0.5466398743467911,3.1842201368599703,7.6302020329058,-4.4842166734385955,17.22355327025707,-16.170211571825632,3.18926084012152,1.5195476261054637,-3.0815357850098053,12.544269392257092,-13.173334345916373,-0.005040703261549484,6.110654406800421,-1.4026808884288187,4.679283878000206,-2.9968772259092162,3.2938545584141052,1.3575929431507816,1.9362616152633365,-0.9952615470424035,0.44665355624601094,-1.4419151032884145,-5.794155988076199,-5.223509956933718,-0.5706460311424812,-12.936758439755833,-6.643952700156934,-6.292805739598932,0.5655915308722215,0.5741600745087332,-0.00856854363651217,-15.866729885588109,-6.377673802403003,-9.489056083185126,-0.49733898225378637,-0.19990671177397298,0.12124202496368987,-0.01346790738154207,-0.40549970425445164,-0.18161648070576505,0.017996914875717463,0.01772833585519411
2005-09-30,-0.6229176399882651,-0.6106672362337615,-0.1249180002665537,-0.10717286284120138,-0.39082677688051004,-0.0013258391500805095,0,13142.9,0.015801479629905524,0.006408191749201597,0.009393287880703927,8849.2,0.010682423821109843,956.1,342.5,195.231,179.683,162.817,47.383,0.010432086533866292,1539,0.015969581749049278,0.014502797238042486,0.022269835086352385,0.010432086533866292,0.015969581749049278,0.014502797238042486,0.022269835086352385,335.1,300.1,635.2,31.6,1500.8999999999999,865.6999999999998,1225.5,884.1999999999999,952.0999999999999,3061.7999999999997,365.2,62,179.683,514.783,30.774,725.9259999999998,949.5,859.8,100.3,1909.6,311.9,61.6,120.41700000000003,120.41700000000003,439.874,139.774,276,24.4,851.8,1152.1999999999998,53.3,0.4,0,0,0,0,0,0,0,0,0.03987540487061897,-0.27196626797837403,0.015818099111695117,-0.16286636682351546,0.03987540487061897,-0.27196626797837403,-0.23209086310775506,0.2625996348821005,-15.737993964999305,5.241339227516505,5.951245518998803,-0.037240051298851995,0.2694358811102262,-9.036974649790636,-2.9333402050719997,4.385858913692573,0.5685625739276361,-0.006836246228124565,-6.70101931520864,8.174679432588533,1.5653866053064576,-0.6058026252265094,0.569764889157787,0.8919273781932674,-0.3221624890354452,1.0840798581840942,0.8489825177175192,0.23509734046659433,-5.5880583832126725,-5.069173567816055,-0.5188848153966167,-13.695324612508582,-9.806086884482342,-3.8892377280262824,0.5204163325691497,0.563207791137998,-0.042791458568848445,-17.109121915810224,-4.537979150560599,-12.571142765249613,-0.530104474540983,-0.14060353681055301,0.03510372363426135,0.04971328244006952,-0.4243322885362845,-0.17313891195081868,0.017450280128210628,0.01612444097813012
2005-12-31,-0.7039079762856747,-0.6426214175210618,-0.13026459456945833,-0.2767950136222138,-0.29684836809400256,7.376765304650328e-4,0,13332.3,0.014096958993637054,0.00618070047938768,0.007916258514249375,8944.9,0.00780676815847392,963.3,345.1,197.352,182.944,162.15600000000003,49.225,0.007175156884459133,1565.8,0.01630489021956083,0.01686642240576286,0.013947284852334096,0.007175156884459133,0.01630489021956083,0.01686642240576286,0.013947284852334096,341,305.4,646.4,32.5,1512.3000000000002,865.9000000000001,1255.8,894.1,965.3000000000001,3115.2,402.9,64.3,182.944,523.944,31.798,731.6020000000001,970.6,870.4,98.7,1939.7,344.7,63.9,122.45599999999999,122.45599999999999,439.698,134.29799999999997,285.2,23.7,866.6,1175.5,58.2,0.4,0,0,0,0,0,0,0,0,-0.16950704108146564,-0.2375525671102065,-0.1343223613294333,0.027034388788685127,-0.16950704108146564,-0.2375525671102065,-0.40705960819167214,1.432776944452577,2.315159921230247,-11.908951599796524,10.57316852459553,32.59177645345295,1.4383719319077244,1.9604889321956307,-4.477867158408003,3.389529889139567,28.437308531850988,-0.00559498745514464,0.35467098903457384,-7.431084441388492,7.183638635455964,4.154467921601984,0.25916797626694293,0.6040981520214658,-0.34493017575451007,0.10812912906111194,0.4988661649933306,-0.3907370359322059,-6.150689986265959,-5.548112799937972,-0.6025771863279883,-10.196147047210468,-5.868162311622922,-4.327984735587588,0.5596897519894326,0.5354517298088105,0.0242380221806222,-15.41985017615894,-5.64199111142167,-9.777859064737287,-0.46929825764964933,-0.17171221302518228,0.024183999150134396,0.020324856190050738,-0.31031650692649165,-0.18719430220928285,0.016296303854059925,0.017033980384524958
2006-03-31,0.17432435295394388,-0.49921049679178064,-0.16836616524291875,0.6877869103813896,-0.34509639218452703,2.457711082190892e-4,0,13603.9,0.012866680430112298,0.005950566562852089,0.00691611386726021,9090.7,0.00507319736557732,996.6,340,191.747,175.956,164.044,53.557,0.008418279693047648,1584.1,0.007107172229246395,0.007340637328545396,0.006213747917267032,0.008418279693047648,0.007107172229246395,0.007340637328545396,0.006213747917267032,389.6,291.3,680.9000000000001,30.3,1566.7,885.7999999999998,1320.4,917.9,981.8000000000001,3220.1,416.8,55.8,175.956,565.556,29.568,753.5319999999999,1025.5,895.1,99.1,2019.6999999999998,357.2,55.4,115.34400000000002,115.34400000000002,423.568,132.26799999999994,294.9,22.8,882.7,1200.4,59.6,0.4,0,0,0,0,0,0,0,0,0.5837999565473879,-0.0643792114089171,-0.008018075147228522,0.11200502898123017,0.5837999565473879,-0.0643792114089171,0.5194207451384709,-9.208828020598006,27.374238996663394,10.354522814372672,70.5587706101569,9.458525513235827,-9.204418515026639,35.83616503228302,13.86499226243302,58.617205108025246,8.70010857387041,-0.0044095055713717635,-8.461926035619712,-3.5104694480602348,11.941565502131425,0.7584169393654037,4.855861571805031,6.812826061678533,-1.9569644898735052,-0.179393902052837,0.7587560506372227,-0.9381499526900278,-5.862515255675146,-5.252744154072427,-0.6097711016027197,-18.865881897447196,-13.748130949050568,-5.117750948396628,-0.07302858299718669,-0.08122031836246016,0.008191735365273407,-20.124958066367334,-8.614444757197607,-11.5105133091697,-0.6037955361450713,-0.2584533728523243,0.14325033950458874,-0.007573261479265354,-0.5660203234984871,-0.17588908907465767,-0.0024367984027500182,-0.002191027294530927
2006-06-30,-0.7972098357802408,-0.4874277747750587,0.033203950401166374,-0.49050320622181237,-0.3399105799595949,3.7451166277054765e-5,0,13749.8,0.014087585174032746,0.00573751053962912,0.008350074634403626,9210.2,0.008035401034416578,996.6,341.5,189.018,176.53,164.97,53.237,0.006950990970526316,1614.3,0.015162226068303086,0.01349516211169588,0.02203712695626181,0.006950990970526316,0.015162226068303086,0.01349516211169588,0.02203712695626181,395.6,294.9,690.5,29.5,1583.2,892.7,1351.3000000000002,922.6999999999999,991.7,3265.7,427.6,51.6,176.53,572.13,28.723,759.677,1041.2,900.8,99.5,2041.5,367.3,51.2,118.36999999999998,118.36999999999998,427.923,133.023,310.1,21.9,892.2,1224.2,60.3,0.4,0,0,0,0,0,0,0,0,-0.3718157471025476,-0.08548350871809839,-0.06554016281842656,-0.0531472963008382,-0.3718157471025476,-0.08548350871809839,-0.457299255820646,-4.968528465831746,0.222024509232142,-5.300045072289436,1.2498474404155786,5.059450455937792,-4.963019301202131,-1.2153527781709954,-4.233329604213736,-6.0171495060999405,5.1803159857508945,-0.005509164629618257,1.4373772874032227,-1.066715468075813,7.266996946515519,-0.12086552981313048,3.1890216289784576,6.1974734707163295,-3.008451841737875,-0.36295529179427605,0.4996024413163383,-0.8625577331106016,-6.1894984296920725,-5.482501664733181,-0.7069967649588915,-18.08018273597676,-12.183224935230482,-5.89695780074629,-0.5916231588498363,-0.5928968636521277,0.0012737048022910633,-22.035237987334487,-10.473690435751367,-11.561547551583123,-0.647909437362359,-0.3079614062364871,0.07633472064117877,-0.028067787932699075,-0.5316176312962242,-0.1819918826128411,-0.017433143838226618,-0.017395692671949552
2006-09-30,-0.614326149270093,-0.48527990209551564,0.13955143391670077,-0.6627889888787315,-0.0910885943080623,0.0013124364390628062,0,13867.5,0.012756028044962342,0.005410043293445854,0.007345984751516488,9333,0.007207895002750542,994.9,347.9,197.488,186.733,161.16699999999997,52.165,0.0074218617819235,1635.7,0.0100132068675709,0.009080359386028913,0.013923911851770665,0.0074218617819235,0.0100132068675709,0.009080359386028913,0.013923911851770665,402.1,308.7,710.8000000000001,30.6,1608.4999999999998,897.6999999999997,1358.6000000000001,927.2,1004.1,3289.9,446.6,49.9,186.733,588.8330000000001,29.815,762.1849999999997,1060.9,906.2,100.2,2067.3,384.8,49.5,121.96699999999998,121.96699999999998,444.215,135.515,297.7,21,903.9,1222.6,61.8,0.4,0,0,0,0,0,0,0,0,-0.42148326806537084,-0.10175428689665991,-0.18017663471564593,-0.06112908609771475,-0.42148326806537084,-0.10175428689665991,-0.5232375549620307,-2.3510856160837363,11.587313606476414,-6.264033517014809,-17.006401093888144,13.604569584546425,-2.3460384407652555,9.483898962597209,-7.077557511039913,0.04047896831525577,12.865431263807068,-0.005047175318478536,2.1034146438792476,0.8135239940250472,-17.046880062203854,0.7391383207393574,9.337215832560494,10.364670033503595,-1.0274542009431002,-2.9516641593138218,-0.43284645252644227,-2.518817706787386,-6.015149216908671,-5.333324296292584,-0.6818249206160848,-9.881180505051232,-7.472085622497129,-2.409094882554077,-0.2575385472299259,-0.30265289360449027,0.04511434637456443,-9.768316595943157,-6.592077364526084,-3.1762392314170516,-0.2841733434942518,-0.19177231274712606,0.262827472078314,-0.09335998215374035,-0.2874567049717445,-0.1749887043275879,-0.00880457588050707,-0.007492139441444267
