"","date","fim_bars","fim_bars_ma","state_local_cont","federal_cont","taxes_transfers_cont","subsidies_cont","recession","state_health_outlays","state_social_benefits","state_noncorp_taxes","state_corporate_taxes","state_subsidies","federal_health_outlays","federal_social_benefits","federal_noncorp_taxes","federal_corporate_taxes","federal_subsidies","health_outlays","social_benefits","noncorp_taxes","corporate_taxes","subsidies","federal_nom","federal_cgrants","federal_igrants","pi_federal","state_local_nom","pi_state_local","pi_state_local_c","pi_state_local_i","gdp","gdppot","gdppoth","pi_gdp","pce","pi_pce","add_state_health_outlays","add_state_social_benefits","add_state_noncorp_taxes","add_state_corporate_taxes","add_federal_health_outlays","add_federal_social_benefits","add_federal_subsidies","add_federal_grants","federal_cgrants_override","federal_cgrants_cont","federal_igrants_cont","federal_cont_0","state_local_cont_0","purchases_cont","subsidies_net","health_outlays_net","social_benefits_net","noncorp_taxes_net","corporate_taxes_net","state_subsidies_net","state_health_outlays_net","state_social_benefits_net","state_noncorp_taxes_net","state_corporate_taxes_net","federal_subsidies_net","federal_health_outlays_net","federal_social_benefits_net","federal_noncorp_taxes_net","federal_corporate_taxes_net","health_outlays_net_xmpc","state_health_outlays_net_xmpc","federal_health_outlays_net_xmpc","social_benefits_net_xmpc","state_social_benefits_net_xmpc","federal_social_benefits_net_xmpc","noncorp_taxes_net_xmpc","state_noncorp_taxes_net_xmpc","federal_noncorp_taxes_net_xmpc","corporate_taxes_net_xmpc","state_corporate_taxes_net_xmpc","federal_corporate_taxes_net_xmpc","subsidies_net_xmpc","state_subsidies_net_xmpc","federal_subsidies_net_xmpc","transfers_net_taxes","state_transfers_net_taxes","federal_transfers_net_taxes","state_taxes_transfers_cont","federal_taxes_transfers_cont","health_cont","social_benefits_cont","noncorp_cont","corporate_cont","state_subsidies_cont","federal_subsidies_cont"
"70",1987-06-30,-0.746105669313083,-0.215409330109142,-0.443438363879106,0.395891881525712,-0.71688126304894,0.0183220760892505,0,21.1144102796,57.18,407,24.5,0.3,107.2855897204,261.92,770.5,87.3,30.2,128.4,319.1,1177.6,111.8,30.4,501.2,54.0144102796,19.56,0.00475759385172481,524,0.0122160762622101,0.0131453796063703,0.0084110255370895,4806.2,0.0152254592805527,0.00843792848855607,0.00678753079199668,3053.3,0.00964134906395553,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134115838255487,0.0409905232712623,0.220785519998962,-0.268332002352356,-0.0475464823533943,1.58835644526392,0.325626883894017,-2.71485963434884,53.5386696542719,11.3155753055671,-0.00542378326575349,0.118177031625471,-0.948254431138174,8.93100247696805,1.38960039955799,1.69378022852968,0.207449852268567,-1.7666052032107,44.5076671773039,9.92597490600912,0.651058907705216,0.144192520070086,0.506866387635131,-2.06723138844448,-0.649619672793763,-1.4176117156507,-6.86006894283167,-1.46686867605264,-5.38128874531566,-0.403201596624963,-0.0199730209291117,-0.383353915588223,0.216301269271646,-0.00573451710654524,0.227270509390395,-8.46314175092426,-1.99800336681197,-6.44811747952905,-0.169243434569648,-0.546196050953289,0.0551487787645772,-0.175107482821099,-0.581090927350106,-0.0341537077315626,-0.000485749617258501,0.0192512396247846
"71",1987-09-30,-1.11632312741835,-0.775384107606196,0.190535712162602,-0.807725744033487,-0.518475579667308,0.0193424841198405,0,21.6054430768,57.192,407.4,24.8,0.3,109.0945569232,261.608,760.3,91.3,31,130.7,318.7,1167.7,116.2,31.3,504.1,51.4054430768,18.828,0.00722720650256869,532.1,0.0119523765231142,0.0126859563814934,0.00890362777610276,4884.6,0.0160307506784434,0.00832084045137083,0.00770991022707257,3117.4,0.00947748200534893,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.311567304364407,-0.0889609752843728,-0.407197464384708,-0.209992567486177,-0.617190031870885,0.358930997315721,0.0146953965571868,-6.07944469593929,-30.8593045250329,2.41014754933873,-0.00533949673701595,0.115231714560199,-1.00570807807526,-6.84391723988489,-0.136058900189632,0.262490661807064,-0.100536318003009,-4.97373661786418,-23.9136074529026,2.44620644952836,0.464019272948973,0.130688499498382,0.333330773450595,-3.58541765664932,-0.990086575270696,-2.57283108137866,-2.39631537412214,-0.707782598984268,-1.68883483354394,-0.94443918761199,-0.106746726879547,-0.834484467291482,0.232409617941943,-0.00568892126285197,0.237616842575715,-6.22974332749254,-1.67961632289898,-4.52520276618777,-0.139787468095292,-0.37661377106136,0.0386183906578148,-0.298399372198354,-0.199435343857696,-0.0786017383889135,-0.000473465212671297,0.0197758597291594
"72",1987-12-31,0.245548477442493,-0.418524545588014,0.352860554685136,0.221569955021729,-0.344115910657992,0.0152338783936198,0,22.0518365288,56.808,416.1,23.6,0.3,110.6481634712,263.292,781.5,87.1,30.8,132.7,320.1,1197.7,110.7,31.1,513.7,50.8518365288,18.696,0.00209360309091955,542.3,0.00597453927110614,0.00610901138605624,0.00529901589704762,5008,0.0157633548462035,0.00825217541635448,0.00751117942984902,3150.9,0.00864168993047532,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105789601497491,-0.0317030528639998,0.35906260938322,0.215367900323645,0.574430509706865,-0.728777985355773,-0.208028200830654,-3.98407488603465,10.2730334345069,-7.46306715330162,-0.00506815960404894,0.0813940059019451,-1.35019394691587,1.81743925770149,-1.61896786060138,-0.723709825751722,-0.28942220673261,-2.73557032565344,8.35559417680531,-5.74240990616556,0.208198136960478,0.103976405206738,0.104221731753742,-3.44331768270071,-1.20610731291154,-2.23759048175948,-0.447054566288379,-0.375877458724087,-0.0654791659703461,-0.706025836975141,-0.0552012652795253,-0.65433955780581,0.186028506003688,-0.00564829302043429,0.191428798317578,-4.20217144300007,-1.53885792472884,-2.66175867546432,-0.126017108850579,-0.217971475696214,0.0170493499537712,-0.281973359759302,-0.036609308134822,-0.0578164711112591,-0.000462538838016156,0.0156761084483952
"73",1988-03-31,-1.70322114204373,-0.83002536533317,-0.18603386466306,-1.20877802161731,-0.319736219881987,0.0113269641186244,0,22.2571986013,57.896,423.1,23.4,0.3,112.0428013987,278.104,796.9,84.5,30,134.3,336,1220,108,30.4,505.8,55.4571986013,18.972,0.0136369679588231,551.1,0.00513956781945279,0.00444171431271556,0.00804533925174389,5073.4,0.0158486324037344,0.00811604805614929,0.00773258434758506,3231.9,0.00789775231379464,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316835207136658,-0.00208892149427895,-1.52352430725969,0.128712420979319,-1.39481188628037,-1.19802919150526,-0.525031309091531,10.7739825015809,3.12027129691819,-4.4727277009528,-0.00480414011098318,-0.147771635462842,0.178288028584213,0.336657666066401,-0.57792568873068,-1.29322505139427,-0.3772596736287,10.5956944729967,2.88521501088894,-3.99480201222211,-0.0883658766309708,0.0375820012405741,-0.125947877871544,-0.450989260816918,-0.703320396197646,0.251951023410395,-3.18441591950519,-0.835683853341745,-2.34911950023922,-0.421140006734577,0.0282409620475004,-0.446158730999821,0.141813590765177,-0.00214393007528626,0.138763524756472,-4.00309747292247,-1.4753252163266,-2.53051156094372,-0.11783747734238,-0.202117536816591,-0.00705797736669096,-0.0360215064550254,-0.254346319449296,-0.0336373807295988,-0.000171240421348743,0.0110833486227214
"74",1988-06-30,-0.642227978726965,-0.80405594268664,0.295973436716481,-0.718553968667783,-0.227723699098492,0.00807625232282887,0,22.8256535754,57.836,428.7,25.2,0.3,114.3743464246,278.364,801.6,90,29.5,137.2,336.2,1230.3,115.3,29.8,506.9,54.7256535754,19.836,0.00981843392231441,563.5,0.00974933527259503,0.010772921861034,0.00552388441124441,5190,0.0180407134473035,0.00806204714766823,0.00997866629963529,3291.7,0.0110541689258916,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.140030720452945,0.0477981398245205,-0.626321388039358,0.203740856088057,-0.422580531951301,-1.18113296863622,0.33269218132088,-6.22304860071614,-13.0217836097431,5.23544866405554,-0.00573486482206798,0.14298155644542,-1.16675244579481,-2.48807102072323,1.3526805438787,-1.0734864822068,0.189710624875502,-5.05629615492126,-10.53371258902,3.8846797417842,-0.0867761847099267,0.0431630193250626,-0.129939204034984,-1.24033177824956,-0.752482449495389,-0.48822944072448,-0.966108159126334,-0.334312588853946,-0.638183004348161,-0.697552561766502,-0.0418241765185311,-0.655903201519294,0.1024351463366,-0.00217766128743585,0.105142441432161,-2.88833353751572,-1.08763385683024,-1.80711240919476,-0.0857518710789798,-0.142477424149072,-0.00684165921945257,-0.0977909708084961,-0.0761704702271718,-0.0549968511662004,-0.000171692457715603,0.00828970248213514
"75",1988-09-30,-0.749714773247271,-0.712403854143869,-0.256258506019072,-0.387484589274845,-0.110147598503521,0.0041759205501677,0,23.4815631609,58.576,439.9,27.3,0.4,117.2184368391,279.524,810.4,97.8,28.9,140.7,338.1,1250.4,125.1,29.2,507.4,56.7815631609,20.388,0.00571502792570455,570.8,0.00841735685992062,0.00888950944801259,0.00645148677445206,5282.8,0.0202004647027154,0.00795257699489316,0.0122478877078223,3361.9,0.0123172735922499,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0874154448815877,0.0205226197357436,-0.495422653892176,-0.148320441401741,-0.643743095293917,-1.20404154749686,0.718976499443983,-4.91472376739745,-4.83799717736201,7.46288622730241,0.0939190448238571,0.193236997972754,-0.432327078558011,2.51031505329178,1.589199765204,-1.19796059232072,0.525739501471222,-4.48239668883951,-7.44831223065387,5.97571344715712,0.0716870634396024,0.0607142080928874,0.0109728553467182,-0.978269569327647,-0.623471724604009,-0.377677956693931,0.222911954144242,-0.415394797493949,0.644015400364665,-0.799677107977814,-0.0626469156731924,-0.737215519913031,0.0541825691384259,0.00272706608366865,0.0569262380395857,-1.42916509058319,-1.03807216359459,-0.402978982855993,-0.0800055617413945,-0.0310581104320611,0.00552501452328342,-0.0753964985994333,0.017180112072774,-0.0616321470503132,0.000210178503558277,0.00438737865430333
"76",1988-12-31,0.833322177729402,-0.565460429072142,0.399368680634298,0.552167185404197,-0.118174420466757,-0.0000392678423369401,0,24.2249273578,59.152,448.7,28.2,0.4,120.8750726422,280.648,824.8,102.7,28.2,145.1,339.8,1273.5,130.9,28.6,525.6,56.5249273578,19.284,0.00806258187118325,584.3,0.0114493594607865,0.0129630483923051,0.00528350265146371,5399.5,0.0170950224041349,0.00788983249450403,0.00920518990963082,3434.5,0.0100996291675923,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.109085710324908,-0.103928065189369,0.765180960918475,0.186354905120021,0.951535866038495,-1.12529228053321,1.86888274414304,-4.38223698795485,0.605977137714717,3.54951834607175,-0.00719578466483856,0.320943516650896,-0.477750706318936,0.886435814843821,0.408887696624767,-1.21989544203458,1.54793922749214,-3.9044862816358,-0.178659730962863,3.14063064944698,0.538992026058683,0.114612848011401,0.424379178047286,-1.06785604225969,-0.427171995469698,-0.640684046789961,0.00386689749527704,-0.457642175586444,0.461090326804826,-1.03521384200498,-0.100836521391829,-0.934562648221561,-0.000518610393743968,0.00194515405528139,-0.00293969639316325,-1.56072957110446,-0.869092690381288,-0.692716886552573,-0.0658054584978638,-0.0524507372266656,0.0408110870037618,-0.0808553072052467,0.000292791511719319,-0.0783837239346544,0.000147282051584871,-0.000222586234054914
"77",1989-03-31,-1.37045597112145,-0.482269136341571,0.0824871939568837,-1.08584106018513,-0.361964383134238,-0.00513772175896587,0,24.900326066,59.96,462.4,27.8,0.4,126.299673934,296.94,861.2,104.9,27.6,151.2,357,1323.6,132.7,28,519.9,56.200326066,20.192,0.00741242358797911,596.7,0.0131512169288819,0.015165315602514,0.0048306378374201,5511.3,0.017427403265682,0.0078059258603127,0.00962147740536934,3490.2,0.0114874467077215,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.120236988373351,0.0492131868249226,-1.0148172586367,0.0114633924084557,-1.00335386622825,-1.15179045544578,3.30053164037824,10.644112001382,25.5298900346083,-0.725502469155686,-0.00771734902721366,0.208018159252401,-0.333241574144374,5.0430637287231,-0.944073106418564,-1.14407310641856,3.09251348112583,10.8773535755262,20.4868263058855,0.218570637262886,1.39974368968938,0.194665551822331,1.20507813786706,-1.09707690480444,-0.54226615608363,-0.577310748720826,-4.2290774050923,-0.967345516833207,-3.26815063453602,-0.890303275032097,-0.0503539176052846,-0.840134685035222,-0.0693528215938406,0.00159903064683414,-0.070969942446807,-4.8860667168333,-1.36370100805296,-3.55148787287182,-0.101024243582032,-0.263097536651306,0.10369431908061,-0.0812724811411753,-0.313294001673659,-0.065954497641048,0.000118457682884278,-0.00525751958120619
"78",1989-06-30,0.605606190575838,-0.170310594015871,0.347382550534179,0.28141107791119,-0.0124912876219763,-0.010696150247555,0,25.854693964,61.016,475.4,24.2,0.4,130.645306036,298.084,873,94.4,27,156.5,359.2,1348.5,118.7,27.4,534.3,55.354693964,19.936,0.00733971622186291,611.5,0.0135685505825982,0.0148714727917096,0.00811491644712792,5612.5,0.0185415345629856,0.0077234923808791,0.0108180421821065,3553.8,0.0134811915633835,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.153537387705218,-0.0417911673147982,0.476739632931206,0.152053995514163,0.628793628445369,-1.19373115043935,2.0938517876275,-5.37007216810167,-3.16651966862582,-16.8138615594036,-0.00848187357770502,0.426364353661388,-0.215432849297983,3.19495414417293,-4.1894902136505,-1.18524927686165,1.66748743396613,-5.15251885040925,-6.461473812799,-12.7243713457531,1.79600460110837,0.258426681195924,1.53757791991245,-0.905157207466185,-0.328219246871843,-0.598960855205625,-0.600416237338009,-0.761693716625246,0.16696666978032,-0.315165007833297,0.103719978209287,-0.419070313650993,-0.147374232148374,0.00114039180919047,-0.148982967683439,-0.172108083677495,-0.726625912282688,0.53753045315271,-0.0527371699804175,0.0390129699455816,0.130350704995799,-0.0656946424593969,-0.0435771043012,-0.0228740956096237,0.0000827675364571311,-0.0108129093087612
"79",1989-09-30,0.200309876724683,0.0671955684771178,-0.0657440261692263,0.18456250292941,0.0955935606212523,-0.0141021606567531,0,26.852442221,63.32,477.4,22.8,0.4,134.747557779,299.78,886.9,91.6,26.7,161.6,363.1,1364.4,114.4,27.1,541.4,59.952442221,18.832,0.00497772647753703,623.2,0.00936868795393009,0.00983534092164873,0.0074201239866476,5695.4,0.0150496486568354,0.0076315904234443,0.00741805823339114,3609.4,0.00589176967636518,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258770360295924,-0.100067419401664,0.0258595620351497,0.092958914725034,0.118818476760184,-0.670540066734777,2.98359414437982,-0.9575909478516,-2.33625109459308,-5.90522284384738,-0.00540934403992377,0.648105920254455,1.47885866015002,-4.42900539144944,-1.72726531441539,-0.665130722694858,2.33548822412533,-2.33509727199163,2.09410663286644,-4.07660519342203,2.30554357121893,0.360772188709306,1.94477138250962,-0.0148023230683691,0.101797544337465,-0.115818486414851,-0.639830975412315,-0.338264280321021,-0.289932994984679,-0.111742183556238,0.164314654950313,-0.272907028071022,-0.197870941715066,0.000906538322946797,-0.195637771512462,1.34129714746695,0.28952664599901,1.07047510152661,0.0206344157504863,0.0762922121355266,0.164314909307363,-0.00105495398260092,-0.0456004258645748,-0.00796380818218179,0.000064608521902667,-0.0139430037603536
"80",1989-12-31,0.0898483563632952,-0.118672886864409,0.394039269449552,-0.59180104721111,0.303467679108962,-0.0158575449841089,0,27.936951196,65.78,475.9,22.1,0.4,138.763048804,303.22,901.9,91.4,26.9,166.7,369.1,1377.7,113.5,27.3,540.8,58.036951196,20.492,0.00358918220483462,639.7,0.0129220419806704,0.014685926898665,0.00550990267732043,5747.2,0.0143154408758834,0.00748723275339747,0.00682820812248597,3653.7,0.00787530762920419,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.227891006629721,0.0993951571843045,-0.463305197765693,0.265543420004135,-0.197761777761558,-0.216324844368504,2.61741347417157,0.421861587077274,-7.66065009802196,-2.65747461976963,-0.00614501615304064,0.671987247008417,1.48724394297366,-8.83407677865398,-1.05026592072332,-0.210179828215466,1.94542622716315,-1.16538235589633,1.37496293467052,-1.6072086990463,2.47396298547535,0.439757028039749,2.0342059574356,1.06611985631386,0.5439213404283,0.50047989687653,0.705837862303188,1.02256853722992,-0.341281325304763,0.300791499156789,0.268312856642361,0.032245964874069,-0.225787654256234,0.000852222751614146,-0.226695890030259,4.32092454899296,2.27541198509195,1.99895460385118,0.159807001095055,0.140390813909554,0.173751658213671,0.0748758546415606,0.0495724874321865,0.0211252238056529,0.0000598534081268495,-0.0159213323053874
"81",1990-03-31,0.960868454831732,0.464158219623887,0.192178187791001,0.54670575588129,0.242062106443617,-0.0200775952841752,0,28.0772240706,68.248,498.2,21.4,0.4,142.8227759294,317.152,907.5,91.1,26.8,170.9,385.3,1405.5,112.5,27.1,553.7,61.3772240706,21.448,0.00700963825259726,658.8,0.0141443012967359,0.0158538426694852,0.0071932962997836,5872.7,0.0181279849311693,0.00723828343141886,0.0108897014997504,3737.9,0.0144880351619729,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139203527218121,0.0459540693310272,0.361548159332142,0.377335784340149,0.73888394367229,-0.793128497599596,0.578222690481567,8.18081580717921,-2.13234912611574,-3.46593716034997,-0.00869052743735671,-0.46669422761234,1.03884276292668,11.9604449814049,-1.18015164091396,-0.684437970162236,1.04491691809392,7.34414567611174,-13.9949667393801,-2.28578551943602,1.8614434717486,0.287946740995182,1.57349673075342,0.511878212618224,0.852640316269286,-0.294491880491731,1.00876096957658,-0.658225724061643,1.63687398204617,0.384340580481507,0.222794341345932,0.161313561495217,-0.288474889043029,0.000704916205018952,-0.284060818270458,3.47794834538189,0.705860590753776,2.79313157553261,0.0491272682874287,0.194399469343862,0.129554807332169,0.0356262675820033,0.0702088648090606,0.0267497620045592,0.0000490615398816086,-0.0197703798907613
"82",1990-06-30,-0.178846793533108,0.26804497359665,-0.12930442002314,-0.32202016995765,0.296722055343436,-0.0242442588957536,0,29.6370698523,70.532,501.2,22.1,0.4,147.1629301477,320.268,921.8,94.7,26.6,176.8,390.7,1422.9,116.8,27,563.9,62.5370698523,20.184,0.0171712687561041,666.8,0.0103203879471132,0.0106590793273316,0.00882457419559901,5960,0.0182130516031485,0.00702633543021647,0.011186716172932,3783.4,0.00908215661103973,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0050650717621859,-0.109249259090673,-0.217835982629162,-0.233488607351628,-0.45132458998079,-0.536540134318045,3.14705871014934,-0.80660198349608,-5.24048556398543,2.48779464535868,-0.00644339681650247,1.10756404121817,1.18462763516837,-5.02525073495394,0.355278270317122,-0.631707586705666,2.03949466893116,-1.99284046786846,-0.318456527440048,2.13251637504158,2.09841502931602,0.441216670695458,1.65719835862055,1.53865900415448,1.16765392527422,0.416435755579947,0.39667321478893,-0.734524503829803,1.12556378607801,0.678599935821787,0.257271745653961,0.421095512527468,-0.35594814804273,0.000685666779857077,-0.360823866029218,4.35639903603849,1.13230350457369,3.25946954677675,0.0771231974780724,0.222008244710389,0.14292676481455,0.104800790379518,0.0270181153329085,0.0462206437122133,0.0000467019789777838,-0.0245763526847425
"83",1990-09-30,-0.172460246927687,0.174852442683558,0.108960964756218,-0.535963081399287,0.280644181927548,-0.0261023122121653,1,31.5763375809,73.128,509.5,23,0.4,152.0236624191,321.472,934.5,97,26.6,183.6,394.5,1444.1,119.9,26.9,562.2,62.1763375809,20.508,0.00136168429873273,680.3,0.0135994420741712,0.0145594352703895,0.00971107692877915,6015.1,0.0154173565028921,0.00676555601435691,0.0086518004885352,3846.7,0.0127055306427504,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.113713741004958,-0.000574789216393343,-0.421674551177935,-0.005327565465134,-0.427002116643069,-0.625719339741899,3.35751187902343,-3.80735355693179,-6.50540920439812,0.825777078449875,-0.0077884346628429,1.36220177324313,1.22266531590091,-1.45890863254209,0.469688984877926,-0.517930905079055,1.99531010578031,-5.0319659814985,-5.24844768052139,0.456088093571935,2.18254651961083,0.601888237617911,1.58065828199292,0.89746241711144,1.11001042281817,-0.190359704059099,0.759101541108039,0.308790134157047,0.468780769538539,0.731412284851416,0.237080149485043,0.487432791059349,-0.388924451961263,0.000358073353746577,-0.384851633951221,4.18159831072046,2.25812701743191,1.96166050458049,0.151552148820934,0.131655067421509,0.146479632188646,0.060232376987345,0.0509464121549019,0.0490880728088199,0.000024031768707824,-0.0258289687215585
"84",1990-12-31,0.470016177091191,0.269894397865532,0.300004267259943,-0.265447946287775,0.460423904383878,-0.0249640482648543,1,34.0215012387,77.148,517.8,23.4,0.4,157.6784987613,327.952,936.6,95.4,26.6,191.7,405.1,1454.4,118.8,27,569.7,62.1215012387,21.188,0.0119072524407253,698.8,0.0157442072245269,0.0189269222008241,0.00266138061413668,6004.7,0.0141393902974452,0.00649924280666347,0.00764014749078168,3867.9,0.0132213237025987,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10877572516455,0.0327265671318003,-0.189398788255025,0.223955109227192,0.0345563209721675,-0.43048323909915,4.47930398889943,2.82023651209607,-18.1784700960252,-3.46449592446054,-0.00788822660370486,1.82246039241694,2.57787441231068,-1.74762863646913,-0.0535730297130286,-0.524567069146372,2.65684359648253,0.140390043134516,-16.3288694029054,-3.51289495139842,2.6014718854246,0.860744695334829,1.74072719008978,1.43709677524067,1.35540227841899,0.10343908572284,2.66244744705482,0.270176675326735,2.39841812238301,0.59812657722338,0.184900321788764,0.413115625900444,-0.375403116794812,0.000255296588885439,-0.376717466784547,6.92373956814866,2.67147926745821,4.27898255731153,0.177651528151366,0.284549387861318,0.172996085546348,0.095565944056835,0.177050918325868,0.0397750047196808,0.0000169770470240188,-0.0250514516323617
"85",1991-03-31,0.834724156770455,0.238358323350213,-0.350911174756661,0.329564171430717,0.878423709846016,-0.0223525497496179,1,32.6535151473,81.624,516.5,23.8,0.4,163.9464848527,344.276,931.3,91.5,26.7,196.6,425.9,1447.8,115.3,27.1,581.4,64.5535151473,21.552,0.00895887531657569,702.8,0.00420377343454281,0.00475561426684279,0.00197700812769996,6035.2,0.016012082086386,0.00629009675464443,0.00972198533174162,3873.6,0.00525361476591191,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116298083680875,0.0125792517030252,0.200686836046817,-0.222033839372761,-0.0213470033259436,-0.211680211055018,2.6870705015094,16.1236424630226,-23.3891740354973,-4.87139292864209,-0.00461748460822253,-1.7607204871958,3.58542574361213,-7.27733382534404,0.129877150418984,-0.2070627264468,4.44779098870515,12.5382167194105,-16.111840210153,-5.00127007906109,3.07596264290586,0.569588786928551,2.50637385597731,3.22423277280544,1.92838344907322,1.27210507046507,6.6106171811271,1.35850604013888,5.24614166512322,0.611415418146356,0.161306893817109,0.446664561461743,-0.335550888703827,0.000311055701972924,-0.333079062013546,13.1866771262809,4.01809622565973,9.13820609101379,0.267663412037886,0.608736895499445,0.204903668320207,0.214780606711772,0.440362861167226,0.0407291233964299,0.0000207208154927256,-0.0221878902868451
"86",1991-06-30,0.7719279414931,0.476052007106764,0.0258448195682564,-0.199652516177432,0.9655214995416,-0.0197858614393246,0,36.3206960599,86.068,526.1,23.4,0.4,172.4793039401,348.632,941,87.5,26.8,208.8,434.7,1467.2,110.9,27.2,586.6,63.7206960599,21.612,0.00493485647934699,709.9,0.00605110705499556,0.00627035336475257,0.00515200233849766,6126.9,0.013276350195661,0.00607426174357273,0.00720208845208825,3926.9,0.00547282089230117,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.108013479969702,-0.0120591492243361,-0.0795798869833937,-0.0942278096257817,-0.173807696609175,-0.212925939432186,9.92984355378718,3.8820975053813,2.68213375978189,-5.73137862791626,-0.00461883305434957,3.29012807484236,3.50148092692939,3.63593181857118,-0.6748205667338,-0.208307106377831,6.63971547894485,0.38061657845185,-1.05379805878943,-5.05655806118246,4.60208923272437,1.06066569449399,3.54142353823039,4.27919015780285,2.44967543971945,1.80613290588714,5.00806174407422,1.00903375237257,4.00517683923569,0.976976327878749,0.228890264170859,0.744705821560632,-0.29852907739653,0.000375997520869617,-0.29932864821622,14.5677883850837,4.74864114827774,9.79811045669762,0.314729662531664,0.649397564733406,0.305016518605804,0.283615466450348,0.331923498414251,0.0647518775105216,0.0000249203022845716,-0.0198388552635353
"87",1991-09-30,0.13789203999417,0.553640078837229,-0.104737677928666,-0.639117062709852,0.898355960242672,-0.0166091796099834,0,38.3883618936,85.564,537.3,23.7,0.4,178.9116381064,350.836,949.6,88.2,27.1,217.3,436.5,1487.1,111.9,27.5,586.3,66.9883618936,21.056,0.0128457826412016,719.9,0.00822339229722524,0.00952782970511956,0.00265367697844354,6205.9,0.0136239914326259,0.00595502255064884,0.0076689688819771,3973.3,0.00679229082657429,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148922796910009,-0.048445459480177,-0.739594400139685,-0.00426034049883342,-0.743854740638518,-0.0467269238604686,5.83836096683581,-3.74125712507896,1.19714181293807,-0.413677053534045,-0.00509892535088924,1.60467453894559,-1.60113576775083,4.49363843224285,0.00171286697298001,-0.0416279985095791,4.23368642789023,-2.24012135732806,-3.39522188796707,-0.415389920507025,5.16028027748216,1.11522206677705,4.04505821070512,4.29406185496974,1.81432019589781,2.43429794632548,3.32087921871623,-0.232583212504184,3.57153945115454,1.23952843723996,0.281806494111893,0.95774260048277,-0.254406956381017,-0.00295715707137966,-0.255243935480994,13.7603428320271,2.97580838721118,10.7533942731869,0.194278241016578,0.702044706013607,0.336893389967661,0.280341566206058,0.216806490637433,0.0809236930415032,-0.000193060573626444,-0.0166638225191202
"88",1991-12-31,-0.100030948516787,0.411128297435234,0.344153803280214,-1.46116490416824,1.02999449744453,-0.0130143450732895,0,43.8891332625,86.808,549,23.6,0.4,191.1108667375,360.492,961.8,89.5,27.7,235,447.3,1510.8,113.1,28.1,577.4,64.2891332625,20.612,0.0101160917997585,731.4,0.00872354574971657,0.0113892041494934,-0.00250163149880356,6264.5,0.0117195935333769,0.00590951061865197,0.00581008291472496,4000,0.00724902534113059,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248669246767281,-0.0332429657421183,-1.17925269165884,0.0622415907708149,-1.11701110088803,0.238140261105983,14.8406501359392,5.05629905355494,4.13194117420767,-0.272440173899682,-0.00526341438391303,4.99563672848592,0.118103029137174,4.62991862880892,-0.411857302246844,0.243403675489891,9.84501340745331,5.03951187801374,-0.295345747409442,0.139417128347176,7.49158316056611,1.82918674239257,5.66239641817355,4.79717592679798,1.26087163468377,3.53660035917331,2.5263352975169,-1.10006214556622,3.62625083339654,1.36692705457235,0.309164660740946,1.0577830511861,-0.201914310225819,-0.00288806409388308,-0.199155230742718,15.9801071292275,2.29627282815718,13.6838754311868,0.148005789855278,0.881991358622393,0.482868442003004,0.309200981440112,0.162834418699425,0.0881050003752781,-0.000186149573398417,-0.0128365091762818
