year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.44423239505774204,0,-0.045634782446116406,0.23337777620836345,0.1404586827899792,-0.419471241444459,0
2000,Q1,-0.742783296185767,0,-1.8840417969828849,-1.309037505585076,0.04210926371058449,-0.6171135551083934,0
2000,Q2,-0.6061474376861229,0,-0.30139523533755336,0.4745635077693316,-0.5055742591172933,-0.2703844839895917,0
2000,Q3,-0.832162212312417,0,-1.0975770344831162,-0.7492572760138498,-0.25418126938713426,-0.09413848908213218,0
2000,Q4,-0.871778512393655,0,-0.20409998277106844,0.04483485323365277,-0.269846467960747,0.020911631956025797,0
2001,Q1,-0.22362311307180616,1,0.7085798003045105,0.4263066381764687,0.04616673541438622,0.2361064267136556,0
2001,Q2,0.11396486616767733,1,1.0489566816203806,0.3957351835397209,0.2771237505330946,0.3760977475475651,0
2001,Q3,0.5942629617124138,1,0.8236153476958299,-0.31339087770459656,-0.32995585113922155,1.466962076539648,0
2001,Q4,1.1310956860432535,1,1.9432309145522906,0.13463955945892403,0.5487860873051168,1.2598052677882496,0
2002,Q1,1.5315720817833043,0,2.310485383264714,1.0646842159173184,-0.2800899846201557,1.525891151967551,0
2002,Q2,1.7583958000827917,0,1.9562515548183306,0.33149074018751223,-0.24312366956767514,1.8678844841984934,0
2002,Q3,1.9196626370010748,0,1.4686826953689611,-0.07187942321930438,-0.006987190920237668,1.5475493095085031,0
2002,Q4,1.737213112394884,0,1.2134328161275274,0.35949286079278214,-0.2401286285027327,1.094068583837478,0
2003,Q1,1.3441179703219386,0,0.7381048149729326,0.05441334298158673,-0.44510022810726846,1.1287917000986143,0
2003,Q2,1.2074338815125751,0,1.409515199580877,1.679527655482357,-1.4179711535299133,1.1479586976284333,0
2003,Q3,0.9934590334659024,0,0.6127833031822703,-0.7179306953627569,0.4159388368257598,0.9147751617192674,0
2003,Q4,0.8585230153626824,0,0.6736887437146477,0.5233576369569283,-0.5308237303532207,0.6811548371109402,0
2004,Q1,0.6993704320335238,0,0.10149448165629826,-0.3898189302143668,0.24953880431344716,0.2417746075572179,0
2004,Q2,0.32311180847738563,0,-0.09551929464367578,-0.26713211843066714,-0.01944955732500092,0.19106238111199228,0
2004,Q3,0.059837438995793524,0,-0.4403141747440982,0.35405779054178216,-0.7150998054526266,-0.07927215983325368,0
2004,Q4,-0.26896922236422516,0,-0.6415379017254271,-0.3406572730422016,-0.2145297193186204,-0.08635090936460513,0
2005,Q1,-0.4476694930112407,0,-0.6133066009317638,0.03477795903244835,-0.14325516423455248,-0.5048293957296597,0
2005,Q2,-0.6835372924825972,0,-1.0389904925291016,-0.2581617717552114,-0.26292045384863705,-0.5179082669252532,0
2005,Q3,-0.7602729084411346,0,-0.7472566385782475,-0.09701758812802284,-0.11339656903436277,-0.536842481415862,0
2005,Q4,-0.814024601732334,0,-0.856544674890225,-0.2684271949287784,-0.12073089185159643,-0.4673865881098501,0
2006,Q1,-0.6807456409181563,0,-0.08019075767505224,0.6948582691936486,-0.16021281745646743,-0.6148362094122334,0
2006,Q2,-0.6998676150497255,0,-1.1154783890553785,-0.484806006091638,0.0396157539499076,-0.6702881369136481,0
2006,Q3,-0.7129384192627548,0,-0.7995398554303651,-0.6587817018926786,0.14415672949881347,-0.2849148830364999,0
2006,Q4,-0.5109456990013665,0,-0.04857379384467189,0.041769291006332476,0.20418561765444324,-0.2945287025054476,0
2007,Q1,-0.6429370722104333,0,-0.6081562505113189,-0.45217798816656696,0.18671436890019466,-0.34269263124494664,0
2007,Q2,-0.3540685897858178,0,0.03999554064308325,0.682253204794333,-0.35938370348119064,-0.28287396067005915,0
2007,Q3,-0.17368496024086774,0,-0.07800533725056488,-0.08898283282641378,0.063267349045715765,-0.052289853469866865,0
