year,quarter,recession,projection,total,impact,federal,state_local,consumption
1999,Q4,0,0,0.007381014285643195,-0.4220545814369033,0.2318136940835876,0.1384476835461522,-0.36288036334409657
2000,Q1,0,0,-1.8145913867151822,-0.7044410097311979,-1.3115916614186498,0.038839895624391635,-0.5418396209209241
2000,Q2,0,0,-0.3088311448791131,-0.5742285921939463,0.47071089440608077,-0.5107329829851925,-0.26880905630000135
2000,Q3,0,0,-1.1454346552893606,-0.815369043149503,-0.7542304097927617,-0.26069532911354965,-0.13050891638304923
2000,Q4,0,0,-0.3396638740931317,-0.9021302652441967,0.037946776560774206,-0.27905882766963636,-0.09855182298426954
2001,Q1,1,0,0.5754644681949822,-0.30461630151665564,0.4176699769362638,0.03463379122030326,0.12316070003841514
2001,Q2,1,0,0.8442676655728855,-0.016341598903655996,0.38542330687409543,0.2634165840868962,0.19542777461189387
2001,Q3,1,0,0.5103499645621553,0.39760455605922296,-0.3246051547334287,-0.34476006522688024,1.1797151845224643
2001,Q4,1,0,1.4400751401820049,0.8425393096280072,0.1230989010896827,0.5335658662608733,0.7834103728314488
2002,Q1,0,0,1.932287531193298,1.181745075377586,1.0522451273351705,-0.2965791441100969,1.1766215479682245
2002,Q2,0,0,1.6103574440199204,1.373267519989345,0.31856766468943226,-0.25959920589631563,1.5513889852268037
2002,Q3,0,0,1.1495281542397675,1.533062067408748,-0.08532620047935681,-0.02386484856737564,1.2587192032865
2002,Q4,0,0,1.231978589005064,1.4810379296145129,0.34568532091543763,-0.25747365468010125,1.1437669227697276
2003,Q1,0,0,0.6530081103793837,1.1612180744110343,0.0406776650144408,-0.46194834236370463,1.0742787877286475
2003,Q2,0,0,1.1728569269261748,1.0518429451375981,1.6655945382019757,-1.4349008145789095,0.9421632033031087
2003,Q3,0,0,0.6394158287240199,0.9243148637586611,-0.7323423591140147,0.3998565275949437,0.9719016602430909
2003,Q4,0,0,0.8919973723150214,0.8393195595861505,0.5092651698143085,-0.546989131172936,0.929721333673649
2004,Q1,0,0,0.2849058011778918,0.7472939822857775,-0.4041200882597879,0.23356949752944206,0.45545639190823767
2004,Q2,0,0,0.04787762893957759,0.46604915778912814,-0.2813714609987537,-0.03567393639946731,0.3649230263377986
2004,Q3,0,0,-0.4323650618830336,0.19810393513736474,0.33987702533912767,-0.7314416061911453,-0.04080048103101598
2004,Q4,0,0,-0.5760912511364734,-0.16891822072550897,-0.3550314415416719,-0.23074443770009928,0.009684628105297728
2005,Q1,0,0,-0.399319329963181,-0.3399745035107772,0.02168388493087975,-0.1581741428903265,-0.26282907200373423
2005,Q2,0,0,-0.8443407238471284,-0.5630290917074536,-0.27015798593823853,-0.27648188840855253,-0.29770084950033737
2005,Q3,0,0,-0.6229176399882651,-0.6106672362337615,-0.10717286284120138,-0.1249180002665537,-0.39082677688051004
2005,Q4,0,0,-0.7039079762856747,-0.6426214175210618,-0.2767950136222138,-0.13026459456945833,-0.29684836809400256
2006,Q1,0,0,0.17432435295394388,-0.49921049679178064,0.6877869103813896,-0.16836616524291875,-0.34509639218452703
2006,Q2,0,0,-0.7972098357802408,-0.4874277747750587,-0.49050320622181237,0.033203950401166374,-0.3399105799595949
2006,Q3,0,0,-0.614326149270093,-0.48527990209551564,-0.6627889888787315,0.13955143391670077,-0.0910885943080623
2006,Q4,0,0,0.035321411096136957,-0.3004725552500628,0.04053261560523381,0.202729765204821,-0.20794096971391784
2007,Q1,0,0,-0.5439333591833162,-0.4800369832843778,-0.4482138378535143,0.19141736713666757,-0.2871368884664694
2007,Q2,0,0,0.16412263615252995,-0.23970386530118515,0.6845768143843559,-0.3565550164851028,-0.16389916174672317
2007,Q3,0,0,-0.07201699987050761,-0.1041265779512888,-0.08640542978502516,0.06632580721215653,-0.051937377297638976
2007,Q4,1,0,0.20577007080110168,-0.061514413025047614,0.13418168321279303,0.10801555212273342,-0.036427164534424766
2008,Q1,1,0,-0.09335037098084334,0.0511313340255706,0.31755474627424063,-0.5011733566315455,0.09026823937646153
2008,Q2,1,0,2.53559187360325,0.6439986433882505,0.5310600703908137,-0.19746239652628275,2.201994199738719
2008,Q3,1,0,1.1559462425012836,0.9509894539811984,-0.0027581385976350042,0.3093434144177715,0.8493609666811471
2008,Q4,1,0,1.1804941463151408,1.194670472859708,0.5136971469729917,-0.2960053567725832,0.9628023561147323
2009,Q1,1,0,3.1078009989696627,1.9949583153473345,0.18307750147059482,0.4338389778553179,2.4908845196437497
2009,Q2,1,0,2.3584622175888494,1.9506759013437343,1.6441814982408864,-0.7074856204578588,1.4217663398058216
2009,Q3,0,0,2.351053891881783,2.249452813688859,0.4214418425158024,-0.44606518048123,2.3756772298472106
2009,Q4,0,0,2.231308277844599,2.5121563465712238,0.6290059163210516,-0.7144042446540373,2.316706606177585
2010,Q1,0,0,1.3548544203609911,2.0739197019190563,0.49010695720144737,-1.0635978645207083,1.928345327680252
2010,Q2,0,0,1.046144678423718,1.7458403171277737,0.42030956137776054,-0.37639879104271,1.0022339080886675
2010,Q3,0,0,0.3169818531861599,1.237322307453868,0.08455124436341505,-0.9266923783968273,1.159122987219572
2010,Q4,0,0,0.3146888297176562,0.7581674454221323,-0.7063634794243946,-0.08829624979960171,1.1093485589416525
2011,Q1,0,0,-1.5532473698233575,0.031141997876045158,-0.7791842320308732,-0.520727627494813,-0.2533355102976714
2011,Q2,0,0,-1.2864864005492003,-0.5520157718671844,-0.17918265908624523,-0.6686679888322142,-0.43863575263074084
2011,Q3,0,0,-2.1985844239606727,-1.1809073411538926,-1.410076980392139,-0.05152418484441068,-0.736983258724123
2011,Q4,0,0,-1.1801172968877127,-1.5546088728052347,-0.21055331838900235,-0.14043360479769287,-0.8291303737010176
2012,Q1,0,0,-1.397995169758937,-1.5157958227891297,-0.3909270564522251,-0.2560200781047454,-0.7510480352019666
2012,Q2,0,0,-1.2582145271849328,-1.508727854448063,-0.6442132037942119,-0.06640099407624728,-0.5476003293144734
2012,Q3,0,0,-0.7606453420991233,-1.1492430839826757,-0.07052941796100387,-0.3554763575157842,-0.3346395666223352
2012,Q4,0,0,-1.484397052145303,-1.2253130227970732,-0.8865916234440627,-0.18323640510705366,-0.41456902359418657
2013,Q1,0,0,-1.6506984044835658,-1.2884888314782303,-1.0477908829659988,0.04953696020514492,-0.652444481722712
2013,Q2,0,0,-1.1446002532036523,-1.2600852629829102,-0.3471829962638515,-0.0966042891959619,-0.7008129677438388
2013,Q3,0,0,-1.1073408964516565,-1.3467591515710435,-0.6132388212289077,-0.10286351926024569,-0.39123855596250307
2013,Q4,0,0,-1.3726262101956554,-1.3188164410836318,-0.9172888700772799,0.015407377943307987,-0.4707447180616834
2014,Q1,0,0,-1.186049044816126,-1.202654101166772,-0.2587432465973415,-0.3629080917018036,-0.5643977065169808
2014,Q2,0,0,-0.6346597632674233,-1.0751689786827148,-0.09302646274323333,-0.12989103379596162,-0.41174226672822833
2014,Q3,0,0,-0.036590979166087445,-0.8074814993613224,0.034696190202119476,0.13811844955051913,-0.20940561891872606
2014,Q4,0,0,-0.4419262105968742,-0.5748064994616271,-0.8456653475137065,0.4977560396995079,-0.09401690278267563
2015,Q1,0,0,0.15635029912232168,-0.23920666347701514,0.0488266565076218,0.00794499122983091,0.09957865138486896
2015,Q2,0,0,0.33830295603410615,0.004034016348367253,-0.07135988355089964,0.36963210067616853,0.04003073890883731
2015,Q3,0,0,0.04849900737443171,0.025306512983497044,-0.04123200610439566,0.056736085067074934,0.03299492841175244
2015,Q4,0,0,0.009885262284935019,0.13825938120394934,0.13057147541361816,-0.17399165077453912,0.053305437645855984
2016,Q1,0,0,0.29345916569447206,0.17253659784698694,-0.009520454394792793,0.3618699123118419,-0.058890292222577
2016,Q2,0,0,-0.44992632432702473,-0.02452072224329578,-0.20287302638072152,-0.19801405983408732,-0.04903923811221586
2016,Q3,0,0,0.01139522585987627,-0.033796667621934645,-0.05943276617148831,0.10540907515963818,-0.034581083128273606
2016,Q4,0,0,-0.17411961992519606,-0.07979788817446742,-0.14690823866134925,0.05240041216595906,-0.07961179342980587
2017,Q1,0,0,-0.154171907533439,-0.1917056564814452,-0.2842812308453224,0.01102558298453079,0.11908374032735264
2017,Q2,0,0,0.01079133875920995,-0.07652624070988653,0.11015177199747493,-0.12291381394097285,0.02355338070270787
2017,Q3,0,0,-0.22766275830178095,-0.13629073675030084,-0.36425096966069537,0.10861934149433246,0.027968869864581972
2017,Q4,0,0,0.2010037246319112,-0.04250990061102403,0.22375698759464288,-0.02712450934502616,0.004371246382294496
2018,Q1,0,0,0.2590549800217868,0.060796821277782416,-0.013114196852346178,-0.03836760891619392,0.3105367857903269
2018,Q2,0,0,0.5291685035229922,0.19039111246872797,0.007741184328022455,0.1820306418640798,0.3393966773308899
2018,Q3,0,0,0.21947423240421743,0.30217536014522756,0.18321647177858133,-0.0655278868595966,0.1017856474852327
2018,Q4,0,0,-0.4147033938201348,0.14824858053221607,-0.031962923163994905,-0.4472970132207758,0.06455654256463587
2019,Q1,0,0,0.321197419370048,0.16378419036928138,-0.12614154427166357,0.23493181810775896,0.2124071455339526
2019,Q2,0,0,0.8502275202606255,0.24404894455368972,0.43627845986265,0.10239353156405809,0.3115555288339174
2019,Q3,0,0,0.40327219499362654,0.289998435201042,0.16985090319927726,-0.11729813278997202,0.3507194245843213
2019,Q4,1,0,0.3296043069007219,0.4760753603812562,0.3437108920115784,-0.24669622599245047,0.23258964088159398
2020,Q1,1,0,0.02299182529152706,0.401523961861626,-0.02351814460598127,-0.07249663819006502,0.11900660808757335
2020,Q2,1,0,11.964363626175103,3.1800579883402453,0.5058042336321756,-0.3923580285937514,11.850917421136678
2020,Q3,1,0,3.9223225845136143,4.059820585720242,3.3865509915438223,-4.547626713107214,5.083398306077006
2020,Q4,NA,1,-0.43608434326249484,3.868398423179438,-0.35852173477518234,0.09361695468538683,-0.17117956317269933
2021,Q1,NA,1,0.5094801910682667,3.990020514623623,-0.40379571066168485,0.16659538275882615,0.7466805189711254
2021,Q2,NA,1,-5.395532071858928,-0.34995340988488444,-0.7928088171066864,0.44496387458449155,-5.047687129336733
2021,Q3,NA,1,-2.5013268962752253,-1.9558657800820942,0.2386669202635567,-0.45932600594696216,-2.2806678105918197
2021,Q4,NA,1,-1.252589119713314,-2.159991974194799,-0.44844507223139657,0.3266024454065336,-1.1307464928884512
2022,Q1,NA,1,-0.9363309876427361,-2.5214447688725494,-0.44498792758559386,0.38799072392027256,-0.8793337839774149
2022,Q2,NA,1,-0.9222439726165529,-1.4031227440619556,-0.23356091362380255,0.1760495363321639,-0.8647325953249142
2022,Q3,NA,1,-0.44275428632219566,-0.8884795915736983,-0.2157856573627992,0.12016637717246531,-0.34713500613186177
